autowalk want=1 now=(484,356) orig=(537,427) side=1 target=499 ms=0 wrote=1
autowalk want=1 now=(480,352) orig=(537,427) side=1 target=495 ms=1 wrote=1
autowalk want=1 now=(495,367) orig=(537,427) side=1 target=510 ms=0 wrote=1
autowalk want=1 now=(510,382) orig=(537,427) side=1 target=525 ms=0 wrote=1
autowalk want=1 now=(525,397) orig=(537,427) side=1 target=540 ms=0 wrote=1
autowalk want=1 now=(540,412) orig=(537,427) side=1 target=555 ms=0 wrote=1
autowalk want=1 now=(555,427) orig=(537,427) side=1 target=570 ms=0 wrote=1
autowalk want=1 now=(570,442) orig=(537,427) side=1 target=585 ms=0 wrote=1
autowalk want=1 now=(585,457) orig=(537,427) side=1 target=600 ms=0 wrote=1
autowalk want=1 now=(589,461) orig=(537,427) side=1 target=604 ms=0 wrote=1
autowalk want=1 now=(589,461) orig=(537,427) side=4 target=574 ms=0 wrote=1
autowalk want=1 now=(574,461) orig=(537,427) side=4 target=559 ms=0 wrote=1
autowalk want=1 now=(559,461) orig=(537,427) side=4 target=544 ms=0 wrote=1
autowalk want=1 now=(545,461) orig=(537,427) side=4 target=530 ms=0 wrote=1
autowalk want=1 now=(545,461) orig=(537,427) side=1 target=560 ms=1 wrote=1
autowalk want=1 now=(560,476) orig=(537,427) side=1 target=575 ms=0 wrote=1
autowalk want=1 now=(575,491) orig=(537,427) side=1 target=590 ms=0 wrote=1
autowalk want=1 now=(584,500) orig=(537,427) side=1 target=599 ms=0 wrote=1
autowalk want=1 now=(584,500) orig=(537,427) side=4 target=569 ms=1 wrote=1
autowalk want=1 now=(569,500) orig=(537,427) side=4 target=554 ms=0 wrote=1
autowalk want=1 now=(554,500) orig=(537,427) side=4 target=539 ms=0 wrote=1
autowalk want=1 now=(548,500) orig=(537,427) side=4 target=533 ms=0 wrote=1
autowalk want=1 now=(548,500) orig=(537,427) side=1 target=563 ms=1 wrote=1
autowalk want=1 now=(561,513) orig=(537,427) side=1 target=576 ms=0 wrote=1
