fastenc(sendmsg) ENABLED hwnd=00550512 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=2111 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=2127 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) ENABLED hwnd=006405C8 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=0 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=14 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=31 smto=1 res=0 battling=0 pos=(243,545) (1/tick)
fastenc(sendmsg) sent cnt=48 smto=1 res=0 battling=0 pos=(242,545) (1/tick)
fastenc(sendmsg) sent cnt=65 smto=1 res=0 battling=0 pos=(242,545) (1/tick)
fastenc(sendmsg) sent cnt=82 smto=1 res=0 battling=0 pos=(242,545) (1/tick)
fastenc(sendmsg) sent cnt=99 smto=1 res=0 battling=0 pos=(242,545) (1/tick)
fastenc(sendmsg) sent cnt=116 smto=1 res=0 battling=0 pos=(242,545) (1/tick)
fastenc(sendmsg) sent cnt=133 smto=1 res=0 battling=0 pos=(242,545) (1/tick)
fastenc(sendmsg) sent cnt=150 smto=1 res=0 battling=0 pos=(242,545) (1/tick)
fastenc(sendmsg) sent cnt=167 smto=1 res=0 battling=0 pos=(242,545) (1/tick)
fastenc(sendmsg) sent cnt=184 smto=1 res=0 battling=0 pos=(242,545) (1/tick)
fastenc(sendmsg) sent cnt=201 smto=1 res=0 battling=0 pos=(242,545) (1/tick)
fastenc(sendmsg) sent cnt=218 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=234 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) ENABLED hwnd=006405C8 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=243 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=260 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=277 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=294 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=311 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=328 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=345 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=362 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=379 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=396 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=413 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=430 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=447 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=464 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=481 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=498 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=515 smto=1 res=0 battling=0 pos=(244,540) (1/tick)
fastenc(sendmsg) sent cnt=532 smto=1 res=0 battling=0 pos=(244,540) (1/tick)
fastenc(sendmsg) ENABLED hwnd=006405C8 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=548 smto=1 res=0 battling=0 pos=(242,545) (1/tick)
fastenc(sendmsg) sent cnt=565 smto=1 res=0 battling=0 pos=(241,545) (1/tick)
fastenc(sendmsg) sent cnt=582 smto=1 res=0 battling=0 pos=(241,545) (1/tick)
fastenc(sendmsg) sent cnt=599 smto=1 res=0 battling=0 pos=(241,545) (1/tick)
fastenc(sendmsg) sent cnt=616 smto=1 res=0 battling=0 pos=(241,545) (1/tick)
fastenc(sendmsg) sent cnt=632 smto=1 res=0 battling=0 pos=(241,545) (1/tick)
fastenc(sendmsg) ENABLED hwnd=006405C8 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=643 smto=1 res=0 battling=0 pos=(247,543) (1/tick)
fastenc(sendmsg) sent cnt=660 smto=1 res=0 battling=0 pos=(247,543) (1/tick)
fastenc(sendmsg) sent cnt=677 smto=1 res=0 battling=0 pos=(247,543) (1/tick)
fastenc(sendmsg) sent cnt=694 smto=1 res=0 battling=0 pos=(247,543) (1/tick)
fastenc(sendmsg) sent cnt=711 smto=1 res=0 battling=0 pos=(247,543) (1/tick)
fastenc(sendmsg) ENABLED hwnd=006405C8 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=714 smto=1 res=0 battling=0 pos=(247,543) (1/tick)
fastenc(sendmsg) ENABLED hwnd=006405C8 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=724 smto=1 res=0 battling=0 pos=(247,543) (1/tick)
fastenc(sendmsg) sent cnt=741 smto=1 res=0 battling=0 pos=(247,543) (1/tick)
fastenc(sendmsg) sent cnt=758 smto=1 res=0 battling=0 pos=(247,543) (1/tick)
