fastenc(sendmsg) ENABLED hwnd=0032058A (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=3119 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3136 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3153 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3170 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3187 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3204 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3221 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3238 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3255 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3272 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3289 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3305 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3322 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3338 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3355 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3372 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
