autowalk want=1 now=(491,227) orig=(485,277) side=1 target=496 ms=0 wrote=1
autowalk want=1 now=(496,232) orig=(485,277) side=1 target=501 ms=0 wrote=1
autowalk want=1 now=(501,237) orig=(485,277) side=1 target=506 ms=0 wrote=1
autowalk want=1 now=(506,242) orig=(485,277) side=1 target=511 ms=0 wrote=1
autowalk want=1 now=(508,244) orig=(485,277) side=1 target=513 ms=0 wrote=1
autowalk want=1 now=(508,244) orig=(485,277) side=0 target=513 ms=0 wrote=1
autowalk want=1 now=(508,244) orig=(485,277) side=2 target=508 ms=0 wrote=1
autowalk want=1 now=(508,249) orig=(485,277) side=2 target=508 ms=0 wrote=1
autowalk want=1 now=(508,249) orig=(485,277) side=3 target=503 ms=0 wrote=1
autowalk want=1 now=(527,360) orig=(485,277) side=3 target=522 ms=0 wrote=1
autowalk want=1 now=(524,365) orig=(485,277) side=3 target=519 ms=0 wrote=1
autowalk want=1 now=(519,370) orig=(485,277) side=3 target=514 ms=0 wrote=1
autowalk want=0 now=(519,370) orig=(485,277) side=3 target=0 ms=0 wrote=0
