fastenc(sendmsg) ENABLED hwnd=004D04FA (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1222 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1239 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1256 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1273 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1289 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1306 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1323 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1340 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1357 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1373 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1389 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1406 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1423 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1439 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1456 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1473 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1490 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1507 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1524 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1540 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1557 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1573 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1590 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1606 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1623 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1640 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1657 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1673 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1690 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1707 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1724 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1740 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
