fastenc(sendmsg) ENABLED hwnd=002602D8 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1111 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1128 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1145 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1162 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1179 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1195 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1211 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1228 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1245 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1262 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1279 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1296 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1313 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1330 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1347 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1364 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1381 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1398 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1415 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1432 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1449 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
