fastenc(sendmsg) ENABLED hwnd=004402EE (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=155 smto=1 res=0 battling=0 pos=(244,651) (1/tick)
fastenc(sendmsg) sent cnt=163 smto=1 res=0 battling=0 pos=(243,651) (1/tick)
fastenc(sendmsg) sent cnt=172 smto=1 res=0 battling=0 pos=(242,651) (1/tick)
fastenc(sendmsg) sent cnt=185 smto=1 res=0 battling=0 pos=(241,651) (1/tick)
fastenc(sendmsg) sent cnt=195 smto=1 res=0 battling=0 pos=(239,651) (1/tick)
fastenc(sendmsg) sent cnt=207 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=224 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=241 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=258 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=275 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=292 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=309 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=326 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=343 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=360 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=377 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=394 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=411 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=428 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=445 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=462 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=479 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=496 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=513 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=530 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=546 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=563 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=580 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=597 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=614 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=631 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=648 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=665 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=682 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=699 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=716 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=733 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=749 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
fastenc(sendmsg) sent cnt=766 smto=1 res=0 battling=0 pos=(238,651) (1/tick)
